epoch,train_loss,train_acc,val_acc
1,1.9010938736388119,0.40216771249286937,0.6121251629726207
2,1.603137283383095,0.5877271616005215,0.6235332464146024
3,1.4846967550723345,0.6542254095020781,0.7679269882659713
4,1.4255316705228103,0.6901638008312281,0.6675358539765319
5,1.354988877459111,0.7175454323201043,0.6861147327249022
6,1.324527859211784,0.7377556841333225,0.6606910039113429
7,1.2909148421772108,0.750957542172602,0.7144719687092569
8,1.265049279595867,0.7647298508678999,0.6447196870925684
9,1.2277947346006743,0.7838806943199413,0.7209908735332464
10,1.1943178204566827,0.7963491158014832,0.7835723598435462
11,1.1694938721492427,0.8033575095754217,0.7594524119947849
12,1.145444978799945,0.8143590579414881,0.6994784876140808
13,1.1364571819697118,0.8206340151576889,0.7539113428943938
14,1.0917421407313328,0.8375030559856572,0.7829204693611473
15,1.0675291507287439,0.8500529704180588,0.81877444589309
16,1.0560710185820137,0.8552685192730829,0.818122555410691
17,1.0195512803276423,0.8723820389536305,0.8164928292046936
18,1.0189580359053625,0.86928530682096,0.8200782268578879
19,0.9958643795575249,0.8796349115801483,0.8223598435462842
20,0.9836124447056351,0.8837910520739956,0.817470664928292
21,0.9605439653723798,0.898052318474452,0.8308344198174706
22,0.9468555324439577,0.9035123461820552,0.8060625814863103
23,0.9346650728784187,0.9110096976611524,0.8200782268578879
24,0.9170942552300889,0.9175291337299324,0.7878096479791395
25,0.9091077199358004,0.9241300627495722,0.7982398956975228
26,0.8875256284176405,0.932686822589846,0.8292046936114733
27,0.8776138480878695,0.9392877516094857,0.8171447196870926
28,0.8635010362866358,0.9435253850541928,0.8236636245110821
