epoch,train_loss,train_acc,val_acc
1,2.1524580585258084,0.1767582104147991,0.1590612777053455
2,2.113789644793906,0.19207888517643223,0.23435462842242502
3,2.098326685609119,0.20405834895281558,0.10560625814863103
4,2.0837080737662563,0.21204465813707116,0.19132985658409388
5,2.0736025872687898,0.23135848749083204,0.1981747066492829
6,2.067286451816287,0.24325645831635564,0.29758800521512385
7,2.056083598965373,0.26680792111482354,0.24934810951760103
8,2.0393713694331446,0.27805394833346914,0.22294654498044328
9,2.0140608698433238,0.3077988753972781,0.28878748370273793
10,1.9635836665996196,0.34308532311955015,0.35984354628422427
11,1.8962152796185654,0.3842392633037242,0.30410691003911344
12,1.8527014249500557,0.4204221334854535,0.4410039113428944
13,1.8015754952833691,0.45464917284654877,0.42894393741851367
14,1.7717868181091387,0.47021432646076117,0.45860495436766624
15,1.731064384942066,0.49841088745823486,0.5143415906127771
16,1.6982563007199456,0.5090864640208622,0.485006518904824
17,1.6655031646165528,0.5319044902615924,0.5541069100391134
18,1.6436855438994988,0.5386684051829517,0.5391134289439374
19,1.6167312826875972,0.5570858120772553,0.5250977835723598
20,1.5969082909315842,0.5658870507701084,0.5501955671447197
21,1.5721843225353067,0.576155162578437,0.5319426336375489
22,1.5587159419601835,0.589520006519436,0.5769230769230769
23,1.5324116012945355,0.5961209355390759,0.628096479791395
24,1.5193675974064123,0.6021514139026974,0.5616036505867015
25,1.5089406613158807,0.6100562301360932,0.6088657105606258
26,1.4916619963172246,0.6169016380083123,0.5863754889178618
27,1.4709148190538532,0.6242360035856899,0.6104954367666232
28,1.4534841177953348,0.6294515524407138,0.5958279009126467
29,1.4441236170217797,0.6364599462146524,0.5769230769230769
30,1.4303216430496037,0.6416754950696765,0.6424380704041721
31,1.412907637522765,0.6589520006519436,0.5860495436766623
32,1.4095469778202514,0.6551218319615353,0.6427640156453716
33,1.3967785888599908,0.6640045636052482,0.6023468057366362
34,1.3860177467042472,0.6630266481949312,0.6065840938722294
35,1.3797388172180745,0.6648194931138457,0.6463494132985659
36,1.3651230658249929,0.6755765626273328,0.6264667535853976
37,1.3632642552299086,0.6742726754135767,0.6427640156453716
38,1.3527799032688645,0.6888599136174721,0.6391786179921773
39,1.3495157072552064,0.682014505745253,0.6329856584093873
40,1.3435734129702002,0.6900823078803684,0.6492829204693612
41,1.3336404544607117,0.6963572650965691,0.6531942633637549
42,1.3273687817513937,0.6982316029663435,0.6456975228161669
43,1.3268609298935787,0.6977426452611849,0.6541720990873533
44,1.3246283549064044,0.6949718849319534,0.6453715775749674
45,1.3200875115699635,0.6952163637845327,0.6434159061277706
46,1.3229784853213011,0.6954608426371119,0.6359191655801826
47,1.3118435257989478,0.7022247575584712,0.6401564537157758
48,1.314321010126946,0.7002689267378371,0.6551499348109517
49,1.3128695700922666,0.7074403064134952,0.651238591916558
50,1.3092229984158477,0.7048325319859832,0.6456975228161669
